Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,EUR_price,Country,City,Number of views last 7 days
Motor Yacht,Vri-Jon power boats,Used boat,1991.0,11.4,3.8,Steel,59000.0,Netherlands, Bezichtiging op afspraak/Call us for a visit/Bitte,75
Pilothouse,Aquador power boats,Used boat,2011.0,7.04,2.48,GRP,59000.0,Netherlands, Lemmer,234
Deck Boat,Quicksilver power boats,Used boat,2018.0,7.63,2.55,GRP,59000.0,Italy, Liguria ,70
Trawler,Veha power boats,Used boat,1990.0,11.3,3.5,Steel,59000.0,Netherlands, In verkoophaven,86
Motor Yacht,Vizianello power boats,Used boat,1989.0,12.5,3.65,GRP,59000.0,Italy,,58
Motor Yacht,Rinker power boats,Used boat,2006.0,9.5,2.74,GRP,59900.0,Croatia (Hrvatska), INFO DD-YACHTING,141
Cabin Boat,Hooveld power boats,Used boat,1978.0,10.8,3.15,Steel,59900.0,Netherlands, Gorinchem,83
Cabin Boat,Stingray power boats,new boat from stock,2019.0,6.3,2.5,GRP,59900.0,Germany, Konstanz-Dettingen,177
Motor Yacht,Diano power boats,Used boat,2003.0,23.9,6.1,Wood,60000.0,Italy, Genova,677
Cabin Boat,Colombo power boats,Used boat,1978.0,9.4,3.0,GRP,60000.0,Italy, Lago Maggiore ,145
Motor Yacht,Intermare power boats,Used boat,2004.0,9.1,3.0,GRP,62000.0,Italy, Toscana ,37
Motor Yacht,BÃ©nÃ©teau power boats,Used boat,2005.0,9.8,3.11,GRP,65000.0,Italy, Mar Tirreno,129
Trawler,Pedro power boats,Diesel,1979.0,10.5,3.3,Steel,65000.0,Germany, Mecklemburg Vorpommern,112
Center console boat,Rhea power boats,new boat from stock,2020.0,7.5,2.8,PVC,66240.0,France,,59
Pilothouse,AluForce power boats,new boat from stock,2020.0,8.7,2.55,Aluminium,67300.0,Germany, auf Anfrage,162
Cabin Boat,Nor Star power boats,Used boat,1997.0,9.46,3.3,GRP,68900.0,Netherlands, In verkoophaven,148
Cabin Boat,Ilver power boats,Used boat,2001.0,11.82,3.45,GRP,74052.0,Switzerland, Lago Maggiore ,327
Center console boat,Sessa power boats,new boat from stock,2020.0,7.0,2.5,GRP,69700.0,Italy, Toscana ,113
Trawler,De Boarnstream power boats,Used boat,1996.0,10.1,3.55,Steel,70000.0,Netherlands, In verkoophaven,121
Pontoon Boat,Tornado power boats,Used boat,1989.0,11.0,3.86,GRP,70000.0,Italy, Toscana ,355
Flybridge,Bayliner power boats,Used boat,1997.0,11.15,3.35,GRP,68900.0,Denmark, Nordjylland,192
Cabin Boat,Marine Offshore power boats,Used boat,2017.0,7.7,2.6,Wood,72500.0,Netherlands, In verkoophaven,40
Motor Yacht,Rinker power boats,Used boat,2003.0,11.28,3.66,GRP,72500.0,Netherlands, In verkoophaven,82
Sport Boat,Sea Ray power boats,Used boat,2005.0,9.47,2.87,GRP,72500.0,Netherlands,,79
Sport Boat,Windy power boats,Used boat,2000.0,8.4,2.6,GRP,79200.0,Switzerland, Lake Geneva ,455
Motor Yacht,Bertram power boats,Used boat,1971.0,7.5,2.8,GRP,75000.0,Finland, HangÃ¶,68
Center console boat,Gagliotta power boats,Used boat,2004.0,10.3,3.5,GRP,75000.0,Italy, Campania ,103
Flybridge,Azimut power boats,Used boat,1996.0,11.44,3.96,GRP,75000.0,Italy, Toscana ,91
Flybridge,Carnevali power boats,Used boat,2000.0,11.08,3.74,GRP,75000.0,Croatia (Hrvatska), onbekend,66
Pilothouse,Jeanneau power boats,new boat from stock,2020.0,8.9,2.99,GRP,78540.0,Germany, BÃ¶nningstedt,90
Pilothouse,Viknes power boats,Used boat,2004.0,8.51,2.97,GRP,79900.0,Netherlands, In verkoophaven,79
Center console boat,Cranchi power boats,Used boat,2006.0,12.2,3.84,GRP,80000.0,Italy, Campania ,120
Trawler,Super van Craft power boats,Used boat,1972.0,13.85,3.68,Steel,82500.0,Netherlands, onbekend,146
Classic,Super van Craft power boats,Used boat,1965.0,14.35,4.15,Steel,82500.0,Netherlands, Vinkeveen(nl),179
Trawler,Zijlmans power boats,Used boat,1995.0,13.0,4.0,Steel,84900.0,Netherlands, In verkoophaven,183
Trawler,Pedro power boats,Used boat,1998.0,11.2,3.4,Steel,84500.0,Netherlands, In verkoophaven,103
Pilothouse,Viknes power boats,Used boat,2005.0,8.52,2.97,GRP,81250.0,Denmark, SjÃ¦lland,138
Sport Boat,Dellapasqua power boats,new boat from stock,2019.0,7.75,2.45,GRP,85000.0,Italy, Lake Garda ,81
Flybridge,Dellapasqua power boats,Used boat,2004.0,11.3,3.5,GRP,85000.0,Italy, Campania ,62
Motor Yacht,Doqueve power boats,Used boat,1997.0,12.5,4.2,GRP,85000.0,Spain, Murcia,39
Motor Yacht,Cranchi power boats,Used boat,1999.0,10.35,3.49,GRP,85000.0,Spain, Alicante,55
Motor Yacht,Sagemar power boats,Used boat,2004.0,11.9,3.9,GRP,85000.0,Italy, CATANIA,162
Launch,Makma power boats,Used boat,2008.0,10.5,3.35,GRP,87000.0,Netherlands, onbekend,105
Sport Boat,BÃ©nÃ©teau power boats,new boat from stock,2020.0,9.0,2.94,GRP,86990.0,France, France,106
Sport Boat,Salpa power boats,new boat from stock,2018.0,7.6,2.53,GRP,92070.0,Switzerland, VierwaldstÃ¤ttersee ,197
Motor Yacht,Amer power boats,Used boat,2010.0,8.7,2.5,GRP,88750.0,Netherlands, In verkoophaven,108
Sport Boat,Four Winns power boats,new boat from stock,2019.0,6.58,2.55,GRP,94353.93,Switzerland, VierwaldstÃ¤ttersee ,199
Trawler,Vacance power boats,Used boat,1998.0,11.2,3.6,Steel,89000.0,Netherlands, In verkoophaven,65
Pilothouse,Aquador power boats,Used boat,2009.0,8.8,3.1,GRP,89000.0,Netherlands, Winterstalling,135
Motor Yacht,Glacer power boats,Used boat,1989.0,13.98,4.12,Steel,90000.0,Netherlands, Lemmer (NL),55
Motor Yacht,Vri-Jon power boats,Used boat,1997.0,12.1,3.8,Steel,97500.0,Netherlands, Roermond (NL),76
Deck Boat,Moonday power boats,new boat from stock,2019.0,10.6,3.3,GRP,98500.0,Netherlands, Lemmer,60
Cabin Boat,Eolo power boats,new boat from stock,2020.0,8.3,2.55,GRP,98300.0,Germany, Baden-WÃ¼rttemberg ,150
Pilothouse,Rhea power boats,Used boat,2008.0,8.0,3.1,GRP,99000.0,France, onbekend,135
Sport Boat,Four Winns power boats,Used boat,2016.0,8.0,2.54,GRP,99800.0,Germany, Bissendorf,154
Motor Yacht,Sea Ray power boats,Used boat,1998.0,15.0,4.08,GRP,97500.0,Denmark, Nordjylland,130
Runabout,Yamarin power boats,new boat from stock,2020.0,8.8,2.95,GRP,100185.0,Germany, auf Anfrage,142
Sport Boat,AB Yachts power boats,Used boat,1994.0,16.72,4.4,GRP,105000.0,Italy, Toscana ,94
Motor Yacht,Master power boats,new boat on order,2020.0,9.96,3.36,GRP,107880.0,France,,151
Flybridge,Funcraft power boats,Used boat,1997.0,13.4,4.2,Steel,107500.0,Netherlands, Veessen,102
Flybridge,Altair power boats,Used boat,2010.0,11.66,3.85,GRP,110000.0,Italy, Liguria ,146
Flybridge,Dellapasqua power boats,Used boat,2006.0,11.3,3.5,GRP,120000.0,Italy, Sardegna ,93
Motor Yacht,Pershing power boats,Used boat,2006.0,11.78,3.25,GRP,120000.0,Spain, Balearic Islands,128
Cabin Boat,Regal power boats,new boat on order,2020.0,7.9,2.5,GRP,124900.0,Germany, Herford,89
Hardtop,Seaway power boats,Used boat,2012.0,9.99,3.49,GRP,129000.0,Germany, RÃ¼gen,162
Motor Yacht,Sessa power boats,Used boat,2009.0,12.9,3.86,GRP,129000.0,Malta,,83
Trawler,Smelne power boats,Used boat,2005.0,11.2,3.8,Steel,129000.0,Netherlands, In verkoophaven,81
Motor Yacht,Azimut power boats,Used boat,1997.0,12.35,3.98,GRP,130000.0,Italy, Campania ,128
Wakeboard/Wakesurf,Nautique power boats,new boat from stock,2020.0,7.35,2.54,GRP,134000.0,Germany, Rheinland-Pfalz ,115
Trawler,Smelne power boats,Used boat,1996.0,13.8,4.25,Steel,134000.0,Netherlands, Maastricht (NL),124
Cabin Boat,Sea Ray power boats,new boat from stock,2020.0,8.1,2.56,GRP,133900.0,Germany, Boote Pfister GmbH Schwebheim / Schweinfurt,145
